No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
32,Blake Griffin\griffbl01,PF,6/10,251,March 16 1989,us,6,University of Oklahoma
10,Brice Johnson\johnsbr02,PF,6/10,230,June 27 1994,us,R,University of North Carolina
33,Wesley Johnson\johnswe01,SF,6/7,215,July 11 1987,us,6,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6/11,265,July 21 1988,us,8,Texas A&M University
12,Luc Mbah a Moute\mbahalu01,SF,6/8,230,September 9 1986,cm,8,University of California Los Angeles
3,Chris Paul\paulch01,PG,6/1,175,May 6 1985,us,11,Wake Forest University
34,Paul Pierce\piercpa01,SF,6/7,235,October 13 1977,us,18,University of Kansas
4,J.J. Redick\redicjj01,SG,6/4,190,June 24 1984,us,10,Duke University
25,Austin Rivers\riverau01,SG,6/4,200,August 1 1992,us,4,Duke University
5,Marreese Speights\speigma01,C,6/10,255,August 4 1987,us,8,University of Florida
0,Diamond Stone\stonedi01,C,6/11,255,February 10 1997,us,R,University of Maryland
21,Joel Bolomboy\bolomjo01,PF,6/9,235,January 28 1994,ua,R,Weber State University
10,Alec Burks\burksal01,SG,6/6,214,July 20 1991,us,5,University of Colorado
33,Boris Diaw\diawbo01,PF,6/8,250,April 16 1982,fr,13,
11,Dante Exum\exumda01,PG,6/6,190,July 13 1995,au,1,
15,Derrick Favors\favorde01,PF,6/10,265,July 15 1991,us,6,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7/1,245,June 26 1992,fr,3,
20,Gordon Hayward\haywago01,SF,6/8,226,March 23 1990,us,6,Butler University
3,George Hill\hillge01,PG,6/3,188,May 4 1986,us,8,Indiana University-Purdue University Indianapolis
5,Rodney Hood\hoodro01,SG,6/8,206,October 20 1992,us,2,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6/8,226,October 2 1987,au,2,
6,Joe Johnson\johnsjo02,SF,6/7,240,June 29 1981,us,15,University of Arkansas
41,Trey Lyles\lylestr01,PF,6/10,234,November 5 1995,ca,1,University of Kentucky
8,Shelvin Mack\macksh01,PG,6/3,203,April 22 1990,us,5,Butler University
25,Raul Neto\netora01,PG,6/1,179,May 19 1992,br,1,
24,Jeff Withey\witheje01,C,7/1,231,March 7 1990,us,3,University of Kansas
8,Alex Abrines\abrinal01,SG,6/6,190,August 1 1993,es,R,
12,Steven Adams\adamsst01,C,7/1,255,July 20 1993,nz,3,University of Pittsburgh
6,Semaj Christon\chrisse01,PG,6/3,190,November 1 1992,us,R,Xavier University
30,Norris Cole\coleno01,PG,6/2,175,October 13 1988,us,5,Cleveland State University
4,Nick Collison\collini01,PF,6/10,255,October 26 1980,us,12,University of Kansas
22,Taj Gibson\gibsota01,PF,6/9,225,June 24 1985,us,7,University of Southern California
9,Jerami Grant\grantje01,PF,6/8,210,March 12 1994,us,2,Syracuse University
34,Josh Huestis\huestjo01,PF,6/7,230,December 19 1991,us,1,Stanford University
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,8,
11,Enes Kanter\kanteen01,C,6/11,245,May 20 1992,ch,5,
77,Joffrey Lauvergne\lauvejo01,PF,6/11,220,September 30 1991,fr,2,
25,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,2,Creighton University
2,Anthony Morrow\morroan01,SG,6/5,210,September 27 1985,us,8,Georgia Institute of Technology
5,Victor Oladipo\oladivi01,SG,6/4,210,May 4 1992,us,3,Indiana University
22,Cameron Payne\payneca01,PG,6/3,185,August 8 1994,us,1,Murray State University
21,Andre Roberson\roberan03,SF,6/7,210,December 4 1991,us,3,University of Colorado
3,Domantas Sabonis\sabondo01,PF,6/11,240,May 3 1996,us,R,Gonzaga University
15,Kyle Singler\singlky01,SF,6/8,228,May 4 1988,us,4,Duke University
0,Russell Westbrook\westbru01,PG,6/3,200,November 12 1988,us,8,University of California Los Angeles
9,Tony Allen\allento01,SG,6/4,213,January 11 1982,us,12,Butler County Community College Oklahoma State University
4,Wade Baldwin\baldwwa01,PG,6/4,202,March 29 1996,us,R,Vanderbilt University
15,Vince Carter\cartevi01,SF,6/6,220,January 26 1977,us,18,University of North Carolina
11,Mike Conley\conlemi01,PG,6/1,175,October 11 1987,us,9,Ohio State University
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,3,Virginia Commonwealth University
23,Deyonta Davis\davisde01,C,6/11,237,December 2 1996,us,R,Michigan State University
16,Toney Douglas\douglto01,PG,6/2,195,March 16 1986,us,7,Auburn University Florida State University
8,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,2,California State University Long Beach
33,Marc Gasol\gasolma01,C,7/1,255,January 29 1985,es,8,
0,JaMychal Green\greenja01,PF,6/9,227,June 21 1990,us,2,University of Alabama
5,Andrew Harrison\harrian01,PG,6/6,213,October 28 1994,us,R,University of Kentucky
1,Jarell Martin\martija01,PF,6/10,239,May 24 1994,us,1,Louisiana State University
25,Chandler Parsons\parsoch01,SF,6/10,230,October 25 1988,us,5,University of Florida
50,Zach Randolph\randoza01,PF,6/9,260,July 16 1981,us,15,Michigan State University
7,Wayne Selden\seldewa01,SG,6/5,230,September 30 1994,us,R,University of Kansas
10,Troy Williams\willitr02,SF,6/7,218,December 30 1994,us,R,Indiana University
34,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,8,University of North Carolina
8,Al-Farouq Aminu\aminual01,PF,6/9,220,September 21 1990,us,6,Wake Forest University
5,Pat Connaughton\connapa01,SG,6/5,206,January 6 1993,us,1,University of Notre Dame
23,Allen Crabbe\crabbal01,SG,6/6,210,April 9 1992,us,3,University of California
17,Ed Davis\davised01,PF,6/10,240,June 5 1989,us,6,University of North Carolina
4,Maurice Harkless\harklma01,SF,6/9,215,May 11 1993,us,4,St. John's University
10,Jake Layman\laymaja01,SF,6/9,210,March 7 1994,us,R,University of Maryland
11,Meyers Leonard\leoname01,PF,7/1,245,February 27 1992,us,4,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6/3,195,July 15 1990,us,4,Weber State University
3,CJ McCollum\mccolcj01,SG,6/3,190,September 19 1991,us,3,Lehigh University
6,Shabazz Napier\napiesh01,PG,6/1,175,July 14 1991,us,2,University of Connecticut
27,Jusuf Nurkic\nurkiju01,C,7/1,280,August 23 1994,ba,2,
24,Mason Plumlee\plumlma01,C,6/11,245,March 5 1990,us,3,Duke University
55,Tim Quarterman\quartti01,SG,6/6,195,October 27 1994,us,R,Louisiana State University
1,Evan Turner\turneev01,SF,6/7,220,October 27 1988,us,6,Ohio State University
21,Noah Vonleh\vonleno01,PF,6/10,240,August 24 1995,us,2,Indiana University
0,Darrell Arthur\arthuda01,PF,6/9,235,March 25 1988,us,7,University of Kansas
5,Will Barton\bartowi01,SG,6/6,175,January 6 1991,us,4,University of Memphis
25,Malik Beasley\beaslma01,SG,6/5,196,November 26 1996,us,R,Florida State University
21,Wilson Chandler\chandwi01,SF,6/8,225,May 10 1987,us,8,DePaul University
35,Kenneth Faried\farieke01,PF,6/8,228,November 19 1989,us,5,Morehead State University
8,Danilo Gallinari\gallida01,SF,6/10,225,August 8 1988,it,7,
7,Alonzo Gee\geeal01,SF,6/6,225,May 29 1987,us,7,University of Alabama
14,Gary Harris\harriga01,SG,6/4,210,September 14 1994,us,2,Michigan State University
41,Juan Hernangomez\hernaju01,PF,6/9,230,September 28 1995,es,R,
34,Roy Hibbert\hibbero01,C,7/2,270,December 11 1986,us,8,Georgetown University
15,Nikola Jokic\jokicni01,C,6/10,250,February 19 1995,rs,1,
3,Mike Miller\millemi01,SF,6/8,218,February 19 1980,us,16,University of Florida
0,Emmanuel Mudiay\mudiaem01,PG,6/5,200,March 5 1996,cd,1,
27,Jamal Murray\murraja01,SG,6/4,207,February 23 1997,ca,R,University of Kentucky
1,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,12,Saint Joseph's University
23,Jusuf Nurkic\nurkiju01,C,7/1,280,August 23 1994,ba,2,
9,Johnny O'Bryant\obryajo01,PF,6/9,257,June 1 1993,us,2,Louisiana State University
24,Mason Plumlee\plumlma01,C,6/11,245,March 5 1990,us,3,Duke University
12,Jarnell Stokes\stokeja01,C,6/9,263,January 7 1994,us,2,University of Tennessee
42,Alexis Ajinca\ajincal01,C,7/2,248,May 6 1988,fr,6,
3,Omer Asik\asikom01,C,7/1,255,July 4 1986,tr,6,
21,Anthony Brown\brownan02,SF,6/7,210,October 10 1992,us,1,Stanford University
18,Omri Casspi\casspom01,PF,6/9,225,June 22 1988,il,7,
22,Quinn Cook\cookqu01,PG,6/2,184,March 23 1993,us,R,Duke University
0,DeMarcus Cousins\couside01,C,6/11,270,August 13 1990,us,6,University of Kentucky
4,Jordan Crawford\crawfjo02,SG,6/4,195,October 23 1988,us,4,Indiana University Xavier University
33,Dante Cunningham\cunnida01,PF,6/8,230,April 22 1987,us,7,Villanova University
23,Anthony Davis\davisan02,C,6/10,253,March 11 1993,us,4,University of Kentucky
13,Cheick Diallo\diallch01,PF,6/9,220,September 13 1996,ml,R,University of Kansas
1,Tyreke Evans\evansty01,SF,6/6,220,September 19 1989,us,7,University of Memphis
2,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,2,Pennsylvania State University
10,Langston Galloway\gallola01,PG,6/2,200,December 9 1991,us,2,Saint Joseph's University
8,Archie Goodwin\goodwar01,SG,6/5,200,August 17 1994,us,3,University of Kentucky
24,Buddy Hield\hieldbu01,SG,6/4,214,December 17 1993,bs,R,University of Oklahoma
44,Solomon Hill\hillso01,SF,6/7,225,March 18 1991,us,3,University of Arizona
11,Jrue Holiday\holidjr01,PG,6/4,205,June 12 1990,us,7,University of California Los Angeles
1,Jarrett Jack\jackja01,PG,6/3,200,October 28 1983,us,11,Georgia Institute of Technology
9,Terrence Jones\joneste01,PF,6/9,252,January 9 1992,us,4,University of Kentucky
55,E'Twaun Moore\mooreet01,SG,6/4,191,February 28 1989,us,5,Purdue University
12,Donatas Motiejunas\motiedo01,PF,7/1,222,September 20 1990,lt,4,
25,Wayne Selden\seldewa01,SG,6/5,230,September 30 1994,us,R,University of Kansas
5,Lance Stephenson\stephla01,SG,6/5,230,September 5 1990,us,6,University of Cincinnati
32,Hollis Thompson\thompho01,SG,6/8,206,April 3 1991,us,3,Georgetown University
10,Axel Toupane\toupaax01,SF,6/7,197,July 23 1992,fr,1,
5,Reggie Williams\willire02,SF,6/6,205,September 14 1986,us,6,Virginia Military Institute
4,Quincy Acy\acyqu01,PF,6/7,240,October 6 1990,us,4,Baylor University
1,Justin Anderson\anderju01,SF,6/6,228,November 19 1993,us,1,University of Virginia
5,J.J. Barea\bareajo01,PG,6/1,185,June 26 1984,pr,10,Northeastern University
40,Harrison Barnes\barneha02,PF,6/8,210,May 30 1992,us,4,University of North Carolina
42,Ben Bentil\bentibe01,PF,6/9,235,March 29 1995,gh,R,Providence College
6,Andrew Bogut\bogutan01,C,7/1,260,November 28 1984,au,11,University of Utah
9,Nicolas Brussino\brussni01,SG,6/7,195,March 2 1993,ar,R,
2,Quinn Cook\cookqu01,PG,6/2,184,March 23 1993,us,R,Duke University
30,Seth Curry\curryse01,PG,6/2,185,August 23 1990,us,3,Liberty University Duke University
11,Yogi Ferrell\ferreyo01,PG,6/1,180,May 9 1993,us,R,Indiana University
10,Dorian Finney-Smith\finnedo01,PF,6/8,220,May 4 1993,us,R,University of Florida
3,Jonathan Gibson\gibsojo01,PG,6/2,185,November 8 1987,us,R,New Mexico State University
20,A.J. Hammons\hammoaj01,C,7/1,260,August 27 1992,us,R,Purdue University
34,Devin Harris\harride01,PG,6/3,192,February 27 1983,us,12,University of Wisconsin
6,Manny Harris\harrima01,SG,6/5,185,September 21 1989,us,3,University of Michigan
55,Pierre Jackson\jackspi01,PG,5/10,180,August 29 1991,us,R,Baylor University
14,DeAndre Liggins\liggide01,SG,6/6,209,March 31 1988,us,3,University of Kentucky
23,Wesley Matthews\matthwe02,SG,6/5,220,October 14 1986,us,7,Marquette University
50,Salah Mejri\mejrisa01,C,7/1,245,June 15 1986,tn,1,
3,Nerlens Noel\noelne01,C,6/11,228,April 10 1994,us,2,University of Kentucky
41,Dirk Nowitzki\nowitdi01,PF,7/1,245,June 19 1978,de,18,
7,Dwight Powell\poweldw01,C,6/11,240,July 20 1991,ca,2,Stanford University
19,Jarrod Uthoff\uthofja01,PF,6/9,221,May 19 1993,us,R,University of Iowa
8,Deron Williams\willide01,PG,6/3,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign
40,Arron Afflalo\afflaar01,SG,6/5,210,October 15 1985,us,9,University of California Los Angeles
22,Matt Barnes\barnema02,SF,6/7,226,March 9 1980,us,13,University of California Los Angeles
18,Omri Casspi\casspom01,PF,6/9,225,June 22 1988,il,7,
0,Willie Cauley-Stein\caulewi01,C,7/1,240,August 18 1993,us,1,University of Kentucky
7,Darren Collison\collida01,PG,6/1,175,August 23 1987,us,7,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6/11,270,August 13 1990,us,6,University of Kentucky
32,Tyreke Evans\evansty01,SF,6/6,220,September 19 1989,us,7,University of Memphis
20,Jordan Farmar\farmajo01,PG,6/2,180,November 30 1986,us,9,University of California Los Angeles
9,Langston Galloway\gallola01,PG,6/2,200,December 9 1991,us,2,Saint Joseph's University
8,Rudy Gay\gayru01,SF,6/8,230,August 17 1986,us,10,University of Connecticut
24,Buddy Hield\hieldbu01,SG,6/4,214,December 17 1993,bs,R,University of Oklahoma
41,Kosta Koufos\koufoko01,C,7/1,265,February 24 1989,us,8,Ohio State University
3,Skal Labissiere\labissk01,PF,6/11,225,March 18 1996,ht,R,University of Kentucky
10,Ty Lawson\lawsoty01,PG,5/11,195,November 3 1987,us,7,University of North Carolina
23,Ben McLemore\mclembe01,SG,6/5,195,February 11 1993,us,3,University of Kansas
13,Georgios Papagiannis\papagge01,C,7/1,240,July 3 1997,gr,R,
5,Malachi Richardson\richama01,SG,6/6,205,January 5 1996,us,R,Syracuse University
17,Garrett Temple\templga01,SG,6/6,195,May 8 1986,us,6,Louisiana State University
43,Anthony Tolliver\tollian01,PF,6/8,240,June 1 1985,us,8,Creighton University
45,Cole Aldrich\aldrico01,C,6/11,250,October 31 1988,us,6,University of Kansas
88,Nemanja Bjelica\bjeline01,PF,6/10,240,May 9 1988,rs,1,
18,Omri Casspi\casspom01,PF,6/9,225,June 22 1988,il,7,
5,Gorgui Dieng\dienggo01,PF,6/11,241,January 18 1990,sn,3,University of Louisville
3,Kris Dunn\dunnkr01,PG,6/4,210,March 18 1994,us,R,Providence College
27,Jordan Hill\hilljo01,C,6/10,235,July 27 1987,us,7,University of Arizona
1,Tyus Jones\jonesty01,PG,6/2,195,May 10 1996,us,1,Duke University
8,Zach LaVine\lavinza01,SG,6/5,189,March 10 1995,us,2,University of California Los Angeles
11,John Lucas III\lucasjo02,PG,5/11,166,November 21 1982,us,7,Baylor University Oklahoma State University
15,Shabazz Muhammad\muhamsh01,SF,6/6,223,November 13 1992,us,3,University of California Los Angeles
33,Adreian Payne\paynead01,PF,6/10,237,February 19 1991,us,2,Michigan State University
9,Ricky Rubio\rubiori01,PG,6/4,194,October 21 1990,es,5,
4,Brandon Rush\rushbr01,SG,6/6,220,July 7 1985,us,8,University of Kansas
7,Lance Stephenson\stephla01,SG,6/5,230,September 5 1990,us,6,University of Cincinnati
32,Karl-Anthony Towns\townska01,C,7/1,244,November 15 1995,us,1,University of Kentucky
22,Andrew Wiggins\wiggian01,SF,6/8,199,February 23 1995,ca,2,University of Kansas
28,Tarik Black\blackta01,C,6/9,250,November 22 1991,us,2,University of Memphis University of Kansas
3,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,9,University of Florida
5,Jose Calderon\caldejo01,PG,6/3,200,September 28 1981,es,11,
6,Jordan Clarkson\clarkjo01,SG,6/5,194,June 7 1992,us,2,University of Tulsa University of Missouri
9,Luol Deng\denglu01,SF,6/9,220,April 16 1985,ss,12,Duke University
11,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,2,Syracuse University
4,Marcelo Huertas\huertma01,PG,6/3,200,May 25 1983,br,1,
14,Brandon Ingram\ingrabr01,SF,6/9,190,September 2 1997,us,R,Duke University
20,Timofey Mozgov\mozgoti01,C,7/1,275,July 16 1986,ru,6,
7,Larry Nance\nancela02,PF,6/9,230,January 1 1993,us,1,University of Wyoming
10,David Nwaba\nwabada01,SG,6/4,209,January 14 1993,us,R,California Polytechnic State University San Luis Obispo
30,Julius Randle\randlju01,PF,6/9,250,November 29 1994,us,2,University of Kentucky
15,Thomas Robinson\robinth01,PF,6/10,237,March 17 1991,us,4,University of Kansas
1,D'Angelo Russell\russeda01,PG,6/5,195,February 23 1996,us,1,Ohio State University
23,Lou Williams\willilo02,SG,6/1,175,October 27 1986,us,11,
37,Metta World Peace\artesro01,SF,6/6,260,November 13 1979,us,16,St. John's University
0,Nick Young\youngni01,SG,6/7,210,June 1 1985,us,9,University of Southern California
40,Ivica Zubac\zubaciv01,C,7/1,265,March 18 1997,ba,R,
19,Leandro Barbosa\barbole01,SG,6/3,194,November 28 1982,br,13,
35,Dragan Bender\bendedr01,PF,7/1,225,November 17 1997,ba,R,
2,Eric Bledsoe\bledser01,PG,6/1,205,December 9 1989,us,6,University of Kentucky
1,Devin Booker\bookede01,SG,6/6,206,October 30 1996,us,1,University of Kentucky
4,Tyson Chandler\chandty01,C,7/1,240,October 2 1982,us,15,
0,Marquese Chriss\chrisma01,PF,6/10,233,July 2 1997,us,R,University of Washington
3,Jared Dudley\dudleja01,PF,6/7,225,July 10 1985,us,9,Boston College
31,Jarell Eddie\eddieja01,SF,6/7,218,October 30 1991,us,1,Virginia Polytechnic Institute and State University
23,John Jenkins\jenkijo01,SG,6/4,215,March 6 1991,us,4,Vanderbilt University
10,Derrick Jones\jonesde02,SF,6/7,190,February 15 1997,us,R,University of Nevada Las Vegas
11,Brandon Knight\knighbr03,SG,6/3,189,December 2 1991,us,5,University of Kentucky
21,Alex Len\lenal01,C,7/1,260,June 16 1993,ua,3,University of Maryland
22,Elijah Millsap\millsel01,SG,6/6,225,August 12 1987,us,2,University of Louisiana at Lafayette University of Alabama at Birmingham
14,Ronnie Price\pricero01,PG,6/2,190,June 21 1983,us,11,Nicholls State University Utah Valley State College
17,P.J. Tucker\tuckepj01,SF,6/6,245,May 5 1985,us,5,University of Texas at Austin
8,Tyler Ulis\ulisty01,PG,5/10,150,January 5 1996,us,R,University of Kentucky
12,T.J. Warren\warretj01,SF,6/8,230,September 5 1993,us,2,North Carolina State University
15,Alan Williams\willial03,C,6/8,260,January 28 1993,us,1,University of California Santa Barbara
