No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Jordan Bell\belljo01,C,6/9,224,January 7 1995,us,R,University of Oregon
25,Chris Boucher\bouchch01,PF,6/10,182,January 11 1993,lc,R,University of Oregon
18,Omri Casspi\casspom01,SF,6/9,225,June 22 1988,il,8,
4,Quinn Cook\cookqu01,PG,6/2,184,March 23 1993,us,1,Duke University
30,Stephen Curry\curryst01,PG,6/3,190,March 14 1988,us,8,Davidson College
35,Kevin Durant\duranke01,PF,6/9,240,September 29 1988,us,10,University of Texas at Austin
23,Draymond Green\greendr01,PF,6/7,230,March 4 1990,us,5,Michigan State University
9,Andre Iguodala\iguodan01,SF,6/6,215,January 28 1984,us,13,University of Arizona
15,Damian Jones\jonesda03,C,7/1,245,June 30 1995,us,1,Vanderbilt University
34,Shaun Livingston\livinsh01,PG,6/7,192,September 11 1985,us,12,
5,Kevon Looney\looneke01,C,6/9,220,February 6 1996,us,2,University of California Los Angeles
0,Patrick McCaw\mccawpa01,SG,6/7,185,October 25 1995,us,1,University of Nevada Las Vegas
1,JaVale McGee\mcgeeja01,C,7/1,270,January 19 1988,us,9,University of Nevada Reno
27,Zaza Pachulia\pachuza01,C,6/11,270,February 10 1984,ge,14,
11,Klay Thompson\thompkl01,SG,6/7,215,February 8 1990,us,6,Washington State University
3,David West\westda01,C,6/9,250,August 29 1980,us,14,Xavier University
6,Nick Young\youngni01,SG,6/7,210,June 1 1985,us,10,University of Southern California
21,Patrick Beverley\beverpa01,SG,6/1,185,July 12 1988,us,5,University of Arkansas
11,Avery Bradley\bradlav01,SG,6/2,180,November 26 1990,us,7,University of Texas at Austin
7,Sam Dekker\dekkesa01,PF,6/9,230,May 6 1994,us,2,University of Wisconsin
1,Jawun Evans\evansja01,PG,6/1,185,July 26 1996,us,R,Oklahoma State University
8,Danilo Gallinari\gallida01,SF,6/10,225,August 8 1988,it,8,
32,Blake Griffin\griffbl01,PF,6/10,251,March 16 1989,us,7,University of Oklahoma
5,Montrezl Harrell\harremo01,C,6/8,240,January 26 1994,us,2,University of Louisville
34,Tobias Harris\harrito02,PF,6/9,235,July 15 1992,us,6,University of Tennessee
11,Brice Johnson\johnsbr02,PF,6/10,230,June 27 1994,us,1,University of North Carolina
33,Wesley Johnson\johnswe01,SF,6/7,215,July 11 1987,us,7,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6/11,265,July 21 1988,us,9,Texas A&M University
2,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,3,University of Cincinnati
51,Boban Marjanovic\marjabo01,C,7/3,290,August 15 1988,rs,2,
35,Willie Reed\reedwi02,C,6/10,220,May 16 1990,us,2,Saint Louis University
25,Austin Rivers\riverau01,SG,6/4,200,August 1 1992,us,5,Duke University
4,Milos Teodosic\teodomi01,PG,6/5,196,March 19 1987,rs,R,
0,Sindarius Thornwell\thornsi01,SG,6/5,212,November 15 1994,us,R,University of South Carolina
12,Tyrone Wallace\wallaty01,PG,6/5,205,June 10 1994,us,R,University of California
9,C.J. Williams\willicj01,SG,6/5,225,February 6 1990,us,R,North Carolina State University
23,Lou Williams\willilo02,SG,6/1,175,October 27 1986,us,12,
13,Jamil Wilson\wilsoja02,SF,6/7,230,November 21 1990,us,R,University of Oregon Marquette University
2,Lonzo Ball\balllo01,PG,6/6,190,October 27 1997,us,R,University of California Los Angeles
17,Vander Blue\blueva01,SG,6/4,200,July 17 1992,us,2,Marquette University
66,Andrew Bogut\bogutan01,C,7/1,260,November 28 1984,au,12,University of Utah
3,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,10,University of Florida
31,Thomas Bryant\bryanth01,C,6/10,248,July 31 1997,us,R,Indiana University
1,Kentavious Caldwell-Pope\caldwke01,SG,6/5,205,February 18 1993,us,4,University of Georgia
4,Alex Caruso\carusal01,PG,6/5,186,February 28 1994,us,R,Texas A&M University
6,Jordan Clarkson\clarkjo01,SG,6/5,194,June 7 1992,us,3,University of Tulsa University of Missouri
9,Luol Deng\denglu01,SF,6/9,220,April 16 1985,ss,13,Duke University
10,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,3,Syracuse University
12,Channing Frye\fryech01,C,6/11,255,May 17 1983,us,11,University of Arizona
5,Josh Hart\hartjo01,SG,6/5,209,March 6 1995,us,R,Villanova University
15,Nigel Hayes\hayesni01,SF,6/8,254,December 16 1994,us,R,University of Wisconsin
20,Andre Ingram\ingraan01,SG,6/3,190,November 19 1985,us,R,American University
14,Brandon Ingram\ingrabr01,SF,6/9,190,September 2 1997,us,1,Duke University
0,Kyle Kuzma\kuzmaky01,PF,6/9,220,July 24 1995,us,R,University of Utah
11,Brook Lopez\lopezbr01,C,7/1,275,April 1 1988,us,9,Stanford University
7,Larry Nance\nancela02,C,6/9,230,January 1 1993,us,2,University of Wyoming
23,Gary Payton\paytoga02,PG,6/3,190,December 1 1992,us,1,Oregon State University
30,Julius Randle\randlju01,C,6/9,250,November 29 1994,us,3,University of Kentucky
3,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,6,University of Washington
21,Travis Wear\weartr01,SF,6/10,230,September 21 1990,us,1,University of North Carolina University of California Los Angeles
6,Derrick Williams\willide02,PF,6/8,240,May 25 1991,us,6,University of Arizona
40,Ivica Zubac\zubaciv01,C,7/1,265,March 18 1997,ba,1,
8,Bogdan Bogdanovic\bogdabo01,SG,6/6,205,August 18 1992,rs,R,
22,Bruno Caboclo\cabocbr01,SF,6/9,218,September 21 1995,br,3,
15,Vince Carter\cartevi01,SF,6/6,220,January 26 1977,us,19,University of North Carolina
0,Willie Cauley-Stein\caulewi01,C,7/1,240,August 18 1993,us,2,University of Kentucky
45,Jack Cooley\cooleja01,PF,6/9,260,April 4 1991,us,1,University of Notre Dame
5,De'Aaron Fox\foxde01,PG,6/3,170,December 20 1997,us,R,University of Kentucky
40,Nigel Hayes\hayesni01,SF,6/8,254,December 16 1994,us,R,University of Wisconsin
24,Buddy Hield\hieldbu01,SG,6/4,214,December 17 1993,bs,1,University of Oklahoma
3,George Hill\hillge01,PG,6/3,188,May 4 1986,us,9,Indiana University-Purdue University Indianapolis
25,Justin Jackson\jacksju01,SF,6/8,200,March 28 1995,us,R,University of North Carolina
41,Kosta Koufos\koufoko01,C,7/1,265,February 24 1989,us,9,Ohio State University
7,Skal Labissiere\labissk01,PF,6/11,225,March 18 1996,ht,1,University of Kentucky
10,Frank Mason\masonfr01,PG,6/1,189,April 3 1994,us,R,University of Kansas
13,Georgios Papagiannis\papagge01,C,7/1,240,July 3 1997,gr,1,
50,Zach Randolph\randoza01,PF,6/9,260,July 16 1981,us,16,Michigan State University
23,Malachi Richardson\richama01,SG,6/6,205,January 5 1996,us,1,Syracuse University
29,JaKarr Sampson\sampsja02,SF,6/9,214,March 20 1993,us,2,St. John's University
17,Garrett Temple\templga01,SG,6/6,195,May 8 1986,us,7,Louisiana State University
35,Dragan Bender\bendedr01,PF,7/1,225,November 17 1997,ba,1,
2,Eric Bledsoe\bledser01,PG,6/1,205,December 9 1989,us,7,University of Kentucky
1,Devin Booker\bookede01,SG,6/6,206,October 30 1996,us,2,University of Kentucky
2,Isaiah Canaan\canaais01,PG,6/1,201,May 21 1991,us,4,Murray State University
4,Tyson Chandler\chandty01,C,7/1,240,October 2 1982,us,16,
0,Marquese Chriss\chrisma01,PF,6/10,233,July 2 1997,us,1,University of Washington
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,4,Virginia Commonwealth University
3,Jared Dudley\dudleja01,PF,6/7,225,July 10 1985,us,10,Boston College
14,Josh Gray\grayjo01,PG,6/1,180,September 9 1993,us,R,Louisiana State University
10,Shaquille Harrison\harrish01,PG,6/4,190,October 6 1993,us,R,University of Tulsa
23,Danuel House\houseda01,SG,6/7,207,June 7 1993,us,1,Texas A&M University
20,Josh Jackson\jacksjo02,SF,6/8,207,February 10 1997,us,R,University of Kansas
55,Mike James\jamesmi02,PG,6/1,189,August 18 1990,us,R,Lamar University
10,Derrick Jones\jonesde02,SF,6/7,190,February 15 1997,us,1,University of Nevada Las Vegas
21,Alex Len\lenal01,C,7/1,260,June 16 1993,ua,4,University of Maryland
14,Greg Monroe\monrogr01,C,6/11,265,June 4 1990,us,7,Georgetown University
2,Elfrid Payton\paytoel01,PG,6/4,185,February 22 1994,us,3,University of Louisiana at Lafayette
25,Alec Peters\peteral01,PF,6/9,232,April 13 1995,us,R,Valparaiso University
32,Davon Reed\reedda01,SG,6/5,208,June 11 1995,us,R,University of Miami
8,Tyler Ulis\ulisty01,PG,5/10,150,January 5 1996,us,1,University of Kentucky
12,T.J. Warren\warretj01,SF,6/8,230,September 5 1993,us,3,North Carolina State University
15,Alan Williams\willial03,PF,6/8,260,January 28 1993,us,2,University of California Santa Barbara
13,Bam Adebayo\adebaba01,C,6/10,243,July 18 1997,us,R,University of Kentucky
22,Luke Babbitt\babbilu01,SF,6/9,225,June 20 1989,us,7,University of Nevada Reno
7,Goran Dragic\dragigo01,PG,6/3,190,May 6 1986,si,9,
2,Wayne Ellington\ellinwa01,SG,6/4,200,October 29 1987,us,8,University of North Carolina
40,Udonis Haslem\hasleud01,C,6/8,235,June 9 1980,us,14,University of Florida
16,James Johnson\johnsja01,PF,6/9,250,February 20 1987,us,8,Wake Forest University
8,Tyler Johnson\johnsty01,PG,6/4,186,May 7 1992,us,3,California State University Fresno
5,Derrick Jones\jonesde02,SF,6/7,190,February 15 1997,us,1,University of Nevada Las Vegas
17,Rodney McGruder\mcgruro01,SG,6/4,205,July 29 1991,us,1,Kansas State University
25,Jordan Mickey\mickejo01,PF,6/8,235,July 9 1994,us,2,Louisiana State University
9,Kelly Olynyk\olynyke01,PF,7/1,238,April 19 1991,ca,4,Gonzaga University
0,Josh Richardson\richajo01,SF,6/6,200,September 15 1993,us,2,University of Tennessee
3,Dwyane Wade\wadedw01,SG,6/4,220,January 17 1982,us,14,Marquette University
11,Dion Waiters\waitedi01,SG,6/4,225,December 10 1991,us,5,Syracuse University
14,Derrick Walton\waltode01,PG,6/1,189,April 3 1995,us,R,University of Michigan
15,Okaro White\whiteok01,PF,6/8,204,August 13 1992,us,1,Florida State University
21,Hassan Whiteside\whiteha01,C,7/1,265,June 13 1989,us,5,Marshall University
12,Matt Williams\willima05,SG,6/5,210,October 14 1993,us,R,University of Central Florida
20,Justise Winslow\winslju01,PF,6/7,225,March 26 1996,us,2,Duke University
3,Bradley Beal\bealbr01,SG,6/5,207,June 28 1993,us,5,University of Florida
8,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,3,Pennsylvania State University
13,Marcin Gortat\gortama01,C,6/11,240,February 17 1984,pl,10,
28,Ian Mahinmi\mahinia01,C,6/11,250,November 5 1986,fr,9,
1,Chris McCullough\mcculch01,PF,6/11,200,February 5 1995,us,2,Syracuse University
20,Jodie Meeks\meeksjo01,SG,6/4,210,August 21 1987,us,8,University of Kentucky
5,Markieff Morris\morrima02,PF,6/10,245,September 2 1989,us,6,University of Kansas
12,Kelly Oubre\oubreke01,SF,6/7,205,December 9 1995,us,2,University of Kansas
22,Otto Porter\porteot01,SF,6/8,198,June 3 1993,us,4,Georgetown University
7,Devin Robinson\robinde01,SF,6/8,190,March 7 1995,us,R,University of Florida
31,Tomas Satoransky\satorto01,SG,6/7,210,October 30 1991,cz,1,
30,Mike Scott\scottmi01,PF,6/8,237,July 16 1988,us,5,University of Virginia
9,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,10,University of Nevada Reno
14,Jason Smith\smithja02,C,7/1,245,March 2 1986,us,9,Colorado State University
2,John Wall\walljo01,PG,6/4,195,September 6 1990,us,7,University of Kentucky
7,Dwayne Bacon\bacondw01,SG,6/6,222,August 30 1995,us,R,Florida State University
5,Nicolas Batum\batumni01,SG,6/8,200,December 14 1988,fr,9,
10,Michael Carter-Williams\cartemi01,PG,6/6,190,October 10 1991,us,4,Syracuse University
21,Treveon Graham\grahatr01,SG,6/6,220,October 29 1993,us,1,Virginia Commonwealth University
41,Willy Hernangomez\hernawi01,C,6/11,240,May 27 1994,es,1,
12,Dwight Howard\howardw01,C,6/11,265,December 8 1985,us,13,
44,Frank Kaminsky\kaminfr01,PF,7/1,242,April 4 1993,us,2,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6/7,232,September 26 1993,us,5,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6/5,185,May 30 1992,us,5,University of Connecticut
9,Mangok Mathiang\mathima01,C,6/10,230,October 8 1992,au,R,University of Louisville
1,Malik Monk\monkma01,SG,6/3,200,February 4 1998,us,R,University of Kentucky
8,Johnny O'Bryant\obryajo01,PF,6/9,257,June 1 1993,us,3,Louisiana State University
4,Marcus Paige\paigema01,PG,6/1,175,September 11 1993,us,R,University of North Carolina
32,Julyan Stone\stoneju01,SG,6/6,200,December 7 1988,us,3,University of Texas at El Paso
15,Kemba Walker\walkeke02,PG,6/1,172,May 8 1990,us,6,University of Connecticut
2,Marvin Williams\willima02,PF,6/9,237,June 19 1986,us,12,University of North Carolina
40,Cody Zeller\zelleco01,C,7/1,240,October 5 1992,us,4,Indiana University
4,Arron Afflalo\afflaar01,SG,6/5,210,October 15 1985,us,10,University of California Los Angeles
0,Jamel Artis\artisja01,SG,6/7,213,January 12 1993,us,R,University of Pittsburgh
14,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,9,University of Texas at Austin
24,Khem Birch\birchkh01,C,6/9,220,September 28 1992,ca,R,University of Pittsburgh University of Nevada Las Vegas
11,Bismack Biyombo\biyombi01,C,6/9,255,August 28 1992,cd,6,
10,Evan Fournier\fournev01,SF,6/7,205,October 29 1992,fr,5,
0,Aaron Gordon\gordoaa01,PF,6/9,220,September 16 1995,us,3,University of Arizona
8,Mario Hezonja\hezonma01,SF,6/8,215,February 25 1995,hr,2,
1,Jonathan Isaac\isaacjo01,PF,6/10,210,October 3 1997,us,R,Florida State University
25,Wesley Iwundu\iwundwe01,SF,6/7,193,December 20 1994,us,R,Kansas State University
7,Shelvin Mack\macksh01,PG,6/3,203,April 22 1990,us,6,Butler University
33,Adreian Payne\paynead01,PF,6/10,237,February 19 1991,us,3,Michigan State University
2,Elfrid Payton\paytoel01,PG,6/4,185,February 22 1994,us,3,University of Louisiana at Lafayette
15,Rodney Purvis\purviro01,SG,6/4,205,February 14 1994,us,R,University of Connecticut
31,Terrence Ross\rosste01,SG,6/7,206,February 5 1991,us,5,University of Washington
17,Jonathon Simmons\simmojo02,SG,6/6,195,September 14 1989,us,2,University of Houston
5,Marreese Speights\speigma01,C,6/10,255,August 4 1987,us,9,University of Florida
20,Rashad Vaughn\vaughra01,SG,6/6,202,August 16 1996,us,2,University of Nevada Las Vegas
9,Nikola Vucevic\vucevni01,C,7/1,260,October 24 1990,ch,6,University of Southern California
33,Ryan Anderson\anderry01,PF,6/10,240,May 6 1988,us,9,University of California
1,Trevor Ariza\arizatr01,SF,6/8,215,June 30 1985,us,13,University of California Los Angeles
28,Tarik Black\blackta01,C,6/9,250,November 22 1991,us,3,University of Memphis University of Kansas
6,Bobby Brown\brownbo02,PG,6/2,175,September 24 1984,us,3,California State University Fullerton
26,Markel Brown\brownma02,SG,6/3,190,January 29 1992,us,2,Oklahoma State University
98,Isaiah Canaan\canaais01,SG,6/1,201,May 21 1991,us,4,Murray State University
15,Clint Capela\capelca01,C,6/10,240,May 18 1994,ch,3,
10,Eric Gordon\gordoer01,SG,6/4,215,December 25 1988,us,9,Indiana University
14,Gerald Green\greenge01,SG,6/7,205,January 26 1986,us,10,
13,James Harden\hardeja01,SG,6/5,220,August 26 1989,us,8,Arizona State University
42,Nene Hilario\hilarne01,C,6/11,250,September 13 1982,br,15,
2,R.J. Hunter\hunterj01,SG,6/5,185,October 24 1993,us,2,Georgia State University
5,Aaron Jackson\jacksaa01,PG,6/4,185,May 6 1986,us,R,Duquesne University
2,Demetrius Jackson\jacksde01,PG,6/1,201,September 7 1994,us,1,University of Notre Dame
7,Joe Johnson\johnsjo02,SF,6/7,240,June 29 1981,us,16,University of Arkansas
12,Luc Mbah a Moute\mbahalu01,PF,6/8,230,September 9 1986,cm,9,University of California Los Angeles
21,Chinanu Onuaku\onuakch01,C,6/10,245,November 1 1996,us,1,University of Louisville
3,Chris Paul\paulch01,PG,6/1,175,May 6 1985,us,12,Wake Forest University
9,Zhou Qi\qizh01,C,7/1,210,January 16 1996,cn,R,
55,Tim Quarterman\quartti01,SG,6/6,195,October 27 1994,us,1,Louisiana State University
4,P.J. Tucker\tuckepj01,PF,6/6,245,May 5 1985,us,6,University of Texas at Austin
0,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,2,Virginia Commonwealth University
5,Troy Williams\willitr02,SF,6/7,218,December 30 1994,us,1,Indiana University
32,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,9,University of North Carolina
24,Tony Allen\allento01,SF,6/4,213,January 11 1982,us,13,Butler County Community College Oklahoma State University
3,Omer Asik\asikom01,C,7/1,255,July 4 1986,tr,7,
2,Ian Clark\clarkia01,SG,6/3,175,March 7 1991,us,4,Belmont University
4,Charles Cooke\cookech01,SG,6/5,196,July 1 1994,us,R,University of Dayton
0,DeMarcus Cousins\couside01,C,6/11,270,August 13 1990,us,7,University of Kentucky
27,Jordan Crawford\crawfjo02,SG,6/4,195,October 23 1988,us,5,Indiana University Xavier University
33,Dante Cunningham\cunnida01,SF,6/8,230,April 22 1987,us,8,Villanova University
23,Anthony Davis\davisan02,PF,6/10,253,March 11 1993,us,5,University of Kentucky
13,Cheick Diallo\diallch01,PF,6/9,220,September 13 1996,ml,1,University of Kansas
1,Larry Drew\drewla02,PG,6/2,180,March 5 1990,us,1,University of North Carolina University of California Los Angeles
44,Solomon Hill\hillso01,SF,6/7,225,March 18 1991,us,4,University of Arizona
11,Jrue Holiday\holidjr01,SG,6/4,205,June 12 1990,us,8,University of California Los Angeles
5,Mike James\jamesmi02,PG,6/1,189,August 18 1990,us,R,Lamar University
12,Jalen Jones\jonesja04,SF,6/7,223,May 27 1993,us,R,Texas A&M University
25,Walt Lemon Jr.\lemonwa01,PG,6/3,180,July 26 1992,us,R,Bradley University
34,DeAndre Liggins\liggide01,SG,6/6,209,March 31 1988,us,4,University of Kentucky
21,Darius Miller\milleda01,SF,6/8,235,March 21 1990,us,3,University of Kentucky
3,Nikola Mirotic\mirotni01,PF,6/10,220,February 11 1991,me,3,
55,E'Twaun Moore\mooreet01,SG,6/4,191,February 28 1989,us,6,Purdue University
14,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,13,Saint Joseph's University
50,Emeka Okafor\okafoem01,C,6/10,252,September 28 1982,us,9,University of Connecticut
9,Rajon Rondo\rondora01,PG,6/1,186,February 22 1986,us,11,University of Kentucky
5,Josh Smith\smithjo03,PF,6/9,225,December 5 1985,us,12,
12,LaMarcus Aldridge\aldrila01,C,6/11,260,July 19 1985,us,11,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6/9,230,September 20 1993,us,3,University of California Los Angeles
42,Davis Bertans\bertada01,PF,6/10,210,November 12 1992,lv,1,
10,Matt Costello\costema01,C,6/9,245,August 5 1993,us,R,Michigan State University
11,Bryn Forbes\forbebr01,SG,6/3,190,July 23 1993,us,1,Michigan State University
16,Pau Gasol\gasolpa01,C,7/1,250,July 6 1980,es,16,
22,Rudy Gay\gayru01,PF,6/8,230,August 17 1986,us,11,University of Connecticut
20,Manu Ginobili\ginobma01,SG,6/6,205,July 28 1977,ar,15,
14,Danny Green\greenda02,SG,6/6,215,June 22 1987,us,8,University of North Carolina
24,Darrun Hilliard\hillida01,SG,6/6,205,April 13 1993,us,2,Villanova University
77,Joffrey Lauvergne\lauvejo01,C,6/11,220,September 30 1991,fr,3,
2,Kawhi Leonard\leonaka01,SF,6/7,230,June 29 1991,us,6,San Diego State University
8,Patty Mills\millspa02,PG,6/1,185,August 11 1988,au,8,Saint Mary's College of California
5,Dejounte Murray\murrade01,PG,6/5,170,September 19 1996,us,1,University of Washington
9,Tony Parker\parketo01,PG,6/2,185,May 17 1982,be,16,
3,Brandon Paul\paulbr01,SG,6/4,200,April 30 1991,us,R,University of Illinois at Urbana-Champaign
4,Derrick White\whitede01,PG,6/5,190,July 2 1994,us,R,University of Colorado
5,J.J. Barea\bareajo01,PG,6/1,185,June 26 1984,pr,11,Northeastern University
40,Harrison Barnes\barneha02,PF,6/8,210,May 30 1992,us,5,University of North Carolina
8,Gian Clavell\clavegi01,SG,6/4,185,November 26 1993,pr,R,Colorado State University
,Antonius Cleveland\clevean01,SG,6/6,195,February 2 1994,us,R,Southeast Missouri State University
8,Kyle Collinsworth\colliky01,SF,6/6,210,October 3 1991,us,R,Brigham Young University
11,Yogi Ferrell\ferreyo01,SG,6/1,180,May 9 1993,us,1,Indiana University
10,Dorian Finney-Smith\finnedo01,PF,6/8,220,May 4 1993,us,1,University of Florida
34,Devin Harris\harride01,PG,6/3,192,February 27 1983,us,13,University of Wisconsin
9,Aaron Harrison\harriaa01,SG,6/6,210,October 28 1994,us,2,University of Kentucky
32,Scotty Hopson\hopsosc01,SG,6/7,204,August 8 1989,us,1,University of Tennessee
21,Jalen Jones\jonesja04,SF,6/7,223,May 27 1993,us,R,Texas A&M University
42,Maxi Kleber\klebima01,PF,6/10,220,January 29 1992,de,R,
23,Wesley Matthews\matthwe02,SF,6/5,220,October 14 1986,us,8,Marquette University
20,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,3,Creighton University
13,Josh McRoberts\mcrobjo01,PF,6/10,240,February 28 1987,us,10,Duke University
50,Salah Mejri\mejrisa01,C,7/1,245,June 15 1986,tn,2,
6,Johnathan Motley\motlejo01,PF,6/9,238,May 4 1995,us,R,Baylor University
3,Nerlens Noel\noelne01,C,6/11,228,April 10 1994,us,3,University of Kentucky
41,Dirk Nowitzki\nowitdi01,C,7/1,245,June 19 1978,de,19,
7,Dwight Powell\poweldw01,C,6/11,240,July 20 1991,ca,3,Stanford University
1,Dennis Smith\smithde03,PG,6/3,195,November 25 1997,us,R,North Carolina State University
0,Jameel Warney\warneja01,PF,6/8,260,January 31 1994,us,R,Stony Brook University
17,Jeff Withey\witheje01,C,7/1,231,March 7 1990,us,4,University of Kansas
24,Dillon Brooks\brookdi01,SF,6/6,220,January 22 1996,ca,R,University of Oregon
8,MarShon Brooks\brookma01,SG,6/5,200,January 26 1989,us,3,Providence College
6,Mario Chalmers\chalmma01,PG,6/2,190,May 19 1986,us,8,University of Kansas
11,Mike Conley\conlemi01,PG,6/1,175,October 11 1987,us,10,Ohio State University
21,Deyonta Davis\davisde01,C,6/11,237,December 2 1996,us,1,Michigan State University
8,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,3,California State University Long Beach
12,Tyreke Evans\evansty01,PG,6/6,220,September 19 1989,us,8,University of Memphis
33,Marc Gasol\gasolma01,C,7/1,255,January 29 1985,es,9,
0,JaMychal Green\greenja01,PF,6/9,227,June 21 1990,us,3,University of Alabama
5,Andrew Harrison\harrian01,PG,6/6,213,October 28 1994,us,1,University of Kentucky
4,Myke Henry\henrymy01,SF,6/6,210,December 23 1992,us,R,DePaul University
32,Vince Hunter\huntevi01,PF,6/8,208,August 5 1994,us,R,University of Texas at El Paso
14,Brice Johnson\johnsbr02,PF,6/10,230,June 27 1994,us,1,University of North Carolina
14,Omari Johnson\johnsom01,PF,6/9,220,November 26 1989,jm,R,Oregon State University
1,Jarell Martin\martija01,PF,6/10,239,May 24 1994,us,2,Louisiana State University
23,Ben McLemore\mclembe01,SG,6/5,195,February 11 1993,us,4,University of Kansas
25,Chandler Parsons\parsoch01,SF,6/10,230,October 25 1988,us,6,University of Florida
10,Ivan Rabb\rabbiv01,PF,6/10,220,February 4 1997,us,R,University of California
22,Xavier Rathan-Mayes\rathaxa01,SG,6/4,208,April 29 1994,ca,R,Florida State University
7,Wayne Selden\seldewa01,SG,6/5,230,September 30 1994,us,1,University of Kansas
2,Kobi Simmons\simmoko01,PG,6/5,166,July 4 1997,us,R,University of Arizona
20,Marquis Teague\teaguma01,PG,6/2,189,February 28 1993,us,2,University of Kentucky
3,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,2,Virginia Commonwealth University
34,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,9,University of North Carolina
