Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
John Jenkins\jenkijo01,5.5,13.8,2.8,5.5,2.8,8.3,5.5,5.5,0,2.8,2.8,2.8,0,0,0,0,19.4
Brandon Jennings\jennibr01,3.8,10.7,1.6,5,2.3,5.7,2.3,3,0.6,3.3,3.9,7.9,1.4,0.1,2.6,2.3,11.5
Jonas Jerebko\jerebjo01,3.3,7.7,1.3,3.8,2,3.9,0.8,1.1,1.7,6.2,7.9,2.1,0.7,0.5,1.1,3.6,8.7
Amir Johnson\johnsam01,4.8,8.3,0.6,1.5,4.2,6.8,1.5,2.2,2.6,5.6,8.2,3.1,1.1,1.4,1.7,4.7,11.6
Brice Johnson\johnsbr02,8,28,0,0,8,28,0,0,4,8,12,4,8,4,4,0,16
James Johnson\johnsja01,6.4,13.3,1.5,4.4,4.9,8.9,2.6,3.7,1.1,5.4,6.5,4.8,1.3,1.5,3,3.4,16.8
Joe Johnson\johnsjo02,5.3,12.2,2.1,5,3.3,7.2,1.2,1.5,0.6,4.1,4.7,2.8,0.7,0.4,1.3,1.8,14
Stanley Johnson\johnsst04,3.4,9.6,1.2,4,2.2,5.5,0.9,1.4,0.9,4,5,2.8,1.5,0.6,1.9,3.2,8.9
Tyler Johnson\johnsty01,5.9,13.6,1.5,4.1,4.4,9.5,3.2,4.2,0.8,4,4.8,3.9,1.4,0.7,1.5,2.9,16.6
Wesley Johnson\johnswe01,3.2,8.9,1.3,5.2,2,3.6,0.5,0.8,1.2,6.9,8,1,1.3,1.3,0.8,3.7,8.3
Nikola Jokic\jokicni01,8.7,15.1,0.8,2.5,7.9,12.6,3.3,4,3.7,8.9,12.7,6.3,1.1,1,3,3.8,21.6
Dahntay Jones\jonesda02,9,24,0,6,9,18,9,12,3,3,6,3,0,0,3,3,27
Damian Jones\jonesda03,3.4,6.8,0,0,3.4,6.8,1.3,4.2,3.8,5.9,9.7,0,0.4,1.7,2.5,6.4,8
Derrick Jones\jonesde02,4.5,8,0.2,0.7,4.3,7.3,1.9,2.7,2.6,2.6,5.2,0.8,0.9,0.9,0.9,4.2,11.1
James Jones\jonesja02,4.2,8.7,2.9,6.2,1.2,2.5,1.2,1.9,0.3,3.2,3.5,1.3,0.6,0.9,0.9,3.5,12.5
Terrence Jones\joneste01,6.5,13.9,0.5,2.1,6,11.8,2.9,4.8,1.8,6.8,8.7,1.7,1.1,1.5,1.4,1.9,16.6
Tyus Jones\jonesty01,3.5,8.4,1.2,3.4,2.3,5,1.5,2,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7
DeAndre Jordan\jordade01,5.8,8.1,0,0,5.8,8.1,2.9,6,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3,14.4
Cory Joseph\josepco01,5.4,11.9,0.9,2.4,4.5,9.5,1.7,2.2,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3
